Key,en,es,ar,fr,hi
Please Enter Your Registered E-mail for Reset Password,Please Enter Your Registered E-mail for Reset Password,Ingrese su correo electrónico registrado para restablecer la contraseña,الرجاء إدخال البريد الإلكتروني المسجل لإعادة تعيين كلمة المرور,Veuillez saisir votre adresse e-mail enregistrée pour réinitialiser le mot de passe,पासवर्ड रीसेट करने के लिए कृपया अपना पंजीकृत ई-मेल दर्ज करें
Enter the OTP sent to,Enter the OTP sent to,Ingrese la OTP enviada a,أدخل كلمة المرور لمرة واحدة المرسلة إلى,Entrez l'OTP envoyé à,भेजे गए ओटीपी को दर्ज करें
Resend Code,Resend Code,Reenviar código,إعادة إرسال الرمز,Renvoyer le code,पुन: कोड भेजे
Submit,Submit,Entregar,يُقدِّم,Soumettre,जमा करना
Reset Password,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialiser le mot de passe,पासवर्ड रीसेट
Reset your password to sign in again.,Reset your password to sign in again.,Restablece tu contraseña para iniciar sesión nuevamente.,قم بإعادة تعيين كلمة المرور الخاصة بك لتسجيل الدخول مرة أخرى.,Réinitialisez votre mot de passe pour vous reconnecter.,दोबारा साइन इन करने के लिए अपना पासवर्ड रीसेट करें।
Congratulations,Congratulations,Felicidades,تهانينا,Félicitations,बधाई हो
"Your password has been reset Successfully, Sign in again now.","Your password has been reset Successfully, Sign in again now.",Su contraseña se ha restablecido correctamente. Inicie sesión nuevamente ahora.,تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح، قم بتسجيل الدخول مرة أخرى الآن.,"Votre mot de passe a été réinitialisé avec succès, connectez-vous à nouveau maintenant.","आपका पासवर्ड सफलतापूर्वक रीसेट हो गया है, अब फिर से साइन इन करें।"
Okay,Okay,Bueno,تمام,D'accord,ठीक है
Please fill out the field,Please fill out the field,Por favor complete el campo,يرجى ملء الحقل,Veuillez remplir le champ,कृपया फ़ील्ड भरें
Your account has been create Successfully. Welcome to AdBot Pro.,Your account has been create Successfully. Welcome to AdBot Pro.,Su cuenta se ha creado con éxito. Bienvenido a AdBot Pro.,لقد تم إنشاء حسابك بنجاح. مرحبًا بك في AdBot Pro.,Votre compte a été créé avec succès. Bienvenue sur AdBot Pro.,आपका अकाउंट सफलतापूर्वक बन गया है. एडबॉट प्रो में आपका स्वागत है।
Chat With AdBot Pro.,Chat With AdBot Pro.,Chatea con AdBot Pro.,الدردشة مع AdBot Pro.,Discutez avec AdBot Pro.,एडबॉट प्रो के साथ चैट करें।
Chatting with AdBot Pro can be a fun and interactive way to explore language and learn new things.,Chatting with AdBot Pro can be a fun and interactive way to explore language and learn new things.,Chatear con AdBot Pro puede ser una forma divertida e interactiva de explorar idiomas y aprender cosas nuevas.,يمكن أن تكون الدردشة مع AdBot Pro طريقة ممتعة وتفاعلية لاستكشاف اللغة وتعلم أشياء جديدة.,Discuter avec AdBot Pro peut être un moyen amusant et interactif d'explorer une langue et d'apprendre de nouvelles choses.,एडबॉट प्रो के साथ चैट करना भाषा का पता लगाने और नई चीजें सीखने का एक मजेदार और इंटरैक्टिव तरीका हो सकता है।
Image generation in AI refers to the process of creating new images using artificial intelligence algorithms.,Image generation in AI refers to the process of creating new images using artificial intelligence algorithms.,La generación de imágenes en IA se refiere al proceso de creación de nuevas imágenes utilizando algoritmos de inteligencia artificial.,يشير توليد الصور في الذكاء الاصطناعي إلى عملية إنشاء صور جديدة باستخدام خوارزميات الذكاء الاصطناعي.,La génération d’images en IA fait référence au processus de création de nouvelles images à l’aide d’algorithmes d’intelligence artificielle.,एआई में छवि निर्माण कृत्रिम बुद्धिमत्ता एल्गोरिदम का उपयोग करके नई छवियां बनाने की प्रक्रिया को संदर्भित करता है।
Subscription Plan,Subscription Plan,Plan de suscripción,خطة الاشتراك,Plan d'abonnement,सदस्यता योजना
Free Subscription,Free Subscription,Suscripción gratuita,اشتراك مجاني,Abonnement gratuit,मुफ़्त सदस्यता
24 Hours Support,24 Hours Support,Soporte las 24 horas,دعم 24 ساعة,Assistance 24 heures sur 24,24 घंटे सहायता
No Ads,No Ads,Sin anuncios,لا إعلانات,Aucune publicité,कोई विज्ञापन नहीं
Ads Free,Ads Free,Anuncios gratis,إعلانات مجانية,Annonces gratuites,विज्ञापन मुक्त
Your Subscription will be expired on,Your Subscription will be expired on,Su suscripción vencerá el,سوف تنتهي صلاحية اشتراكك في,Votre abonnement expirera le,आपकी सदस्यता समाप्त हो जाएगी
Premium Subscription,Premium Subscription,Suscripción Premium,الاشتراك المميز,Abonnement Premium,प्रीमियम सदस्यता
Billing Details,Billing Details,Detalles de facturación,تفاصيل الفواتير,Détails de facturation,बिलिंग विवरण
Select Payment Method,Select Payment Method,Seleccione método de pago,حدد طريقة الدفع,Sélectionnez le mode de paiement,भुगतान विधि चुनें
Pay Now,Pay Now,Paga ahora,ادفع الآن,Payez maintenant,अब भुगतान करें
Refresh,Refresh,Refrescar,ينعش,Rafraîchir,ताज़ा करना
FOR Label,FOR,PARA,ل,POUR,के लिए
days,days,días,أيام,jours,दिन
Share Chat,Share Chat,Compartir chat,مشاركة الدردشة,Partager le chat,चैट साझा करें
Clear Conversation,Clear Conversation,Conversación clara,محادثة واضحة,Conversation claire,स्पष्ट बातचीत
Clear Recent,Clear Recent,Borrar reciente,مسح الأخيرة,Effacer les récents,हालिया साफ़ करें
Search Images,Search Images,Buscar imágenes,البحث عن الصور,Rechercher des images,छवियाँ खोजें
Profile,Profile,Perfil,حساب تعريفي,Profil,प्रोफ़ाइल
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe,पासवर्ड बदलें
About Us,About Us,Sobre nosotros,معلومات عنا,À propos de nous,हमारे बारे में
Sign Out,Sign Out,Desconectar,تسجيل الخروج,Se déconnecter,साइन आउट
Old Password,Old Password,Contraseña anterior,كلمة المرور القديمة,Ancien mot de passe,पुराना पासवर्ड
Please Verify Your Email To Login,Please Verify Your Email To Login,Por favor verifique su correo electrónico para iniciar sesión,يرجى التحقق من البريد الإلكتروني الخاص بك لتسجيل الدخول,Veuillez vérifier votre e-mail pour vous connecter,कृपया लॉगिन करने के लिए अपना ईमेल सत्यापित करें
Please Verify Your SMS To Login,Please Verify Your SMS To Login,Verifique su SMS para iniciar sesión,يرجى التحقق من الرسائل القصيرة الخاصة بك لتسجيل الدخول,Veuillez vérifier votre SMS pour vous connecter,कृपया लॉगिन करने के लिए अपना एसएमएस सत्यापित करें
Please accept terms and condition,Please accept terms and condition,Por favor acepte términos y condiciones.,يرجى قبول الشروط والأحكام,Veuillez accepter les termes et conditions,कृपया नियम एवं शर्तें स्वीकार करें
Remaining,Remaining,Restante,متبقي,Restant,शेष
Chat,Chat,Charlar,محادثة,Chat,बात करना
Image,Image,Imagen,صورة,Image,छवि
Stripe Payment,Stripe Payment,Pago de franjas,الدفع الشريطي,Paiement Stripe,धारी भुगतान
Card Number,Card Number,Número de tarjeta,رقم البطاقة,Numéro de carte,कार्ड संख्या
Full Name,Full Name,Nombre completo,الاسم الكامل,Nom et prénom,पूरा नाम
Manual Payment,Manual Payment,Pago Manual,الدفع اليدوي,Paiement manuel,मैन्युअल भुगतान
Card Holder,Card Holder,Titular de la tarjeta,حامل البطاقة,Titulaire de la carte,कार्ड धारक
VALID THRU,VALID THRU,VÁLIDO HASTA,صالح من خلال,VALABLE JUSQU'À,के जरिए मान्य
Write Something,Write Something,escribir algo,اكتب شيئا,Écrire quelque chose,कुछ लिखना
Search Something,Search Something,buscar algo,ابحث عن شيء ما,Rechercher quelque chose,कुछ खोजें
No Expiration,No Expiration,Sin vencimiento,لا انتهاء الصلاحية,Aucune expiration,कोई समय समाप्ति नहीं
With Ads,With Ads,Con anuncios,مع الإعلانات,Avec des publicités,विज्ञापनों के साथ
Unlimited,Unlimited,Ilimitado,غير محدود,Illimité,असीमित
Current Plan,Current Plan,Plan actual,الخطة الحالية,Forfait actuel,वर्तमान योजना
You Are Already Using Free Package,You Are Already Using Free Package,Ya estás usando el paquete gratuito,أنت تستخدم الحزمة المجانية بالفعل,Vous utilisez déjà le forfait gratuit,आप पहले से ही निःशुल्क पैकेज का उपयोग कर रहे हैं
Do You Want To Delete Your Account ?,Do You Want To Delete Your Account ?,¿Quieres eliminar tu cuenta?,هل تريد حذف حسابك؟,Voulez-vous supprimer votre compte ?,क्या आप अपना खाता हटाना चाहते हैं?
"OH No!!, No Conversation yet","OH No!!, No Conversation yet","¡¡OH No!!, Aún no hay conversación","أوه لا!!, لا توجد محادثة بعد","OH Non !!, Pas encore de conversation","अरे नहीं!!, अभी तक कोई बातचीत नहीं"
"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.","Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old.","Contrariamente a la creencia popular, Lorem Ipsum no es simplemente un texto aleatorio. Tiene sus raíces en una pieza de literatura latina clásica del 45 a. C., por lo que tiene más de 2000 años.",خلافاً للاعتقاد الشائع، فإن لوريم إيبسوم ليس مجرد نص عشوائي. لها جذور في قطعة من الأدب اللاتيني الكلاسيكي من 45 قبل الميلاد، مما يجعلها أكثر من 2000 سنة.,"Contrairement à la croyance populaire, le Lorem Ipsum n’est pas simplement un texte aléatoire. Il a ses racines dans un morceau de littérature latine classique datant de 45 avant JC, soit plus de 2000 ans.","आम धारणा के विपरीत, लोरेम इप्सम केवल यादृच्छिक पाठ नहीं है। इसकी जड़ें 45 ईसा पूर्व के शास्त्रीय लैटिन साहित्य के एक टुकड़े में हैं, जो इसे 2000 वर्ष से अधिक पुराना बनाती है।"
Success,Success,Éxito,نجاح,Succès,सफलता
Alert,Alert,Alerta,يُحذًِر,Alerte,चेतावनी
Paypal Payment,PayPal,PayPal,باي بال,Paypal,पेपैल
Type your message here...,Type your message here...,Escribe tu mensaje aquí...,اكتب رسالتك هنا...,Tapez votre message ici...,यहाँ आपके संदेश लिखें...
Home,Home,Hogar,بيت,Maison,घर
About,About,Acerca de,عن,À propos,के बारे में
Services,Services,Servicios,خدمات,Services,सेवाएं
Blogs,Blogs,Blogs,مدونات,Blogues,ब्लॉग
Contact,Contact,Contacto,اتصال,Contact,संपर्क
"We may use cookies or any other tracking technologies when you visit our website, including any other media form, mobile website, or mobile application related or connected to help customize the Site and improve your experience","We may use cookies or any other tracking technologies when you visit our website, including any other media form, mobile website, or mobile application related or connected to help customize the Site and improve your experience","Podemos utilizar cookies o cualquier otra tecnología de seguimiento cuando visita nuestro sitio web, incluido cualquier otro medio de comunicación, sitio web móvil o aplicación móvil relacionado o conectado para ayudar a personalizar el Sitio y mejorar su experiencia.",قد نستخدم ملفات تعريف الارتباط أو أي تقنيات تتبع أخرى عندما تزور موقعنا على الويب، بما في ذلك أي نموذج وسائط آخر أو موقع ويب للجوال أو تطبيق جوال مرتبط أو متصل للمساعدة في تخصيص الموقع وتحسين تجربتك,"Nous pouvons utiliser des cookies ou toute autre technologie de suivi lorsque vous visitez notre site Web, y compris toute autre forme de média, site Web mobile ou application mobile liée ou connectée pour vous aider à personnaliser le Site et à améliorer votre expérience.","जब आप हमारी वेबसाइट पर जाते हैं, तो साइट को अनुकूलित करने और आपके अनुभव को बेहतर बनाने में सहायता के लिए हम कुकीज़ या किसी अन्य ट्रैकिंग तकनीकों का उपयोग कर सकते हैं, जिसमें कोई अन्य मीडिया फॉर्म, मोबाइल वेबसाइट, या संबंधित या कनेक्टेड मोबाइल एप्लिकेशन शामिल है।"
Login Information,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول,Informations de connexion,लॉगिन जानकारी
Login Now,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant,अभी लॉगिन करें
Register Information,Register Information,Información de registro,تسجيل المعلومات,Informations sur l'inscription,जानकारी पंजीकृत करें
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.,कृपया अपने विवरण दर्ज करें और अपने डैशबोर्ड तक पहुंच प्राप्त करने के लिए अपने खाते में पंजीकरण करें।
Register Now,Register Now,Regístrese ahora,سجل الآن,Inscrivez-vous maintenant,अभी पंजीकरण करें
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب بالفعل؟,Vous avez déjà un compte ?,क्या आपके पास पहले से एक खाता मौजूद है?
Email,Email,Correo electrónico,بريد إلكتروني,E-mail,ईमेल
Enter your email and we'll send you a otp to reset your password.,Enter your email and we'll send you a otp to reset your password.,Ingresa tu correo electrónico y te enviaremos un otp para restablecer tu contraseña.,أدخل بريدك الإلكتروني وسنرسل لك كلمة المرور لإعادة تعيين كلمة المرور الخاصة بك.,Entrez votre email et nous vous enverrons un OTP pour réinitialiser votre mot de passe.,अपना ईमेल दर्ज करें और हम आपका पासवर्ड रीसेट करने के लिए आपको एक ओटीपी भेजेंगे।
Send OTP,Send OTP,Enviar OTP,أرسل كلمة مرور لمرة واحدة,Envoyer OTP,ओटीपी भेजें
Please enter the code,Please enter the code,Por favor ingresa el código,الرجاء إدخال الرمز,Veuillez entrer le code,कृपया कोड दर्ज करें
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,Verifique su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة المرور لمرة واحدة).,Veuillez vérifier votre adresse e-mail pour obtenir l'OTP (mot de passe à usage unique).,ओटीपी (वन टाइम पासवर्ड) प्राप्त करने के लिए कृपया अपना ईमेल पता जांचें।
Verify,Verify,Verificar,يؤكد,Vérifier,सत्यापित करें
You can resend the code after,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك,Vous pouvez renvoyer le code après,आप इसके बाद कोड दोबारा भेज सकते हैं
Enter Password,Enter Password,Ingrese la contraseña,أدخل كلمة المرور,Entrez le mot de passe,पास वर्ड दर्ज करें
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar Contraseña,أدخل تأكيد كلمة المرور,Entrez Confirmer le mot de passe,पासवर्ड की पुष्टि करें दर्ज करें
Reset,Reset,Reiniciar,إعادة ضبط,Réinitialiser,रीसेट करें
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب,Autorisation de compte,खाता प्राधिकरण
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض,Besoin de vérifier votre compte. Veuillez vérifier votre boîte de réception pour obtenir le code d'autorisation,अपना खाता सत्यापित करने की आवश्यकता है. कृपया प्राधिकरण कोड प्राप्त करने के लिए अपना मेल इनबॉक्स जांचें
Add Money,Add Money,Agregar dinero,أضف المال,Ajouter de l'argent,पैसे जोड़ें
My Card,My Card,Mi tarjeta,بطاقتي,Ma carte,मेरे कार्ड
My Profile,My Profile,Mi perfil,ملفي الشخصي,Mon profil,मेरी प्रोफाइल
Logout,Logout,Cerrar sesión,تسجيل الخروج,Déconnexion,लॉग आउट
Get Support,Get Support,Obtenga soporte,احصل على الدعم,Obtenir de l'aide,समर्थन प्राप्त करें
Need Help?,Need Help?,¿Necesitar ayuda?,هل تحتاج إلى مساعدة؟,Besoin d'aide ?,मदद की ज़रूरत है?
Please check our docs,Please check our docs,Por favor consulte nuestros documentos,يرجى التحقق من مستنداتنا,Veuillez consulter nos documents,कृपया हमारे दस्तावेज़ जांचें
Welcome Back,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك,Content de te revoir,वापसी पर स्वागत है
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Solde actuel,वर्तमान शेष
Total Add Money,Total Add Money,Añadir dinero total,إجمالي إضافة المال,Total Ajouter de l'argent,कुल पैसा जोड़ें
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة,Billets actifs,सक्रिय टिकट
Active Card,Active Card,Tarjeta activa,البطاقة النشطة,Carte active,सक्रिय कार्ड
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات,Dernières transactions,नवीनतम लेनदेन
View More,View More,Ver más,عرض المزيد,Voir plus,और देखें
Country,Country,País,دولة,Pays,देश
Select Country,Select Country,Seleccionar país,اختر البلد,Sélectionnez un pays,देश चुनें
Enter Phone,Enter Phone,Ingresar teléfono,أدخل الهاتف,Entrez le téléphone,फ़ोन दर्ज करें
Phone,Phone,Teléfono,هاتف,Téléphone,फ़ोन
Address,Address,DIRECCIÓN,عنوان,Adresse,पता
Enter Address,Enter Address,Introduzca la dirección,أدخل العنوان,Entrez l'adresse,पता दर्ज करें
Zip Code,Zip Code,Código postal,الرمز البريدي,Code postal,ज़िप कोड
Enter Zip Code,Enter Zip Code,Ingrese el código postal,أدخل الرمز البريدي,Entrez le code postal,ज़िप कोड डालें
State,State,Estado,ولاية,État,राज्य
Enter State,Enter State,Ingresar estado,أدخل الولاية,Entrez l'état,राज्य दर्ज करें
Enter City,Enter City,Ingrese la ciudad,أدخل المدينة,Entrez la ville,शहर दर्ज करें
City,City,Ciudad,مدينة,Ville,शहर
Current Password,Current Password,Contraseña actual,كلمة المرور الحالية,Mot de passe actuel,वर्तमान पासवर्ड
Enter Current Password,Enter Current Password,Ingrese la contraseña actual,أدخل كلمة المرور الحالية,Entrez le mot de passe actuel,वर्तमान पासवर्ड दर्ज करें
Enter Confirmed Password,Enter Confirmed Password,Ingrese la contraseña confirmada,أدخل كلمة المرور المؤكدة,Entrez le mot de passe confirmé,पुष्टिकृत पासवर्ड दर्ज करें
Change,Change,Cambiar,يتغير,Changement,परिवर्तन
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات,Journal des transactions,हस्तांतरण लॉग
Transactions,Transactions,Actas,المعاملات,Transactions,लेनदेन
Virtual Card,Virtual Card,Tarjeta virtual,البطاقة الافتراضية,Carte virtuelle,आभासी कार्ड
Create A New Card,Create A New Card,Crear una nueva tarjeta,إنشاء بطاقة جديدة,Créer une nouvelle carte,एक नया कार्ड बनाएं
Fund,Fund,Financiar,تمويل,Fonds,फंड
Withdrow,Withdrow,retirarse,انسحاب,Se retirer,वापस लेना
Details,Details,Detalles,تفاصيل,Détails,विवरण
Recent Transaction,Recent Transaction,Transacción reciente,المعاملة الأخيرة,Transaction récente,हालिया लेनदेन
Card Balance,Card Balance,Saldo de la tarjeta,رصيد البطاقة,Solde de la carte,कार्ड बैलेंस
Card Amount,Card Amount,Monto de la tarjeta,مبلغ البطاقة,Montant de la carte,कार्ड राशि
Enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ,Entrez le montant,राशि डालें
Total Charge,Total Charge,Cargo Total,إجمالي الرسوم,Frais totaux,कुल शुल्क
Total Pay,Total Pay,Pago total,إجمالي الأجر,Salaire total,कुल वेतन
Balance,Balance,Balance,توازن,Équilibre,संतुलन
Confirm,Confirm,Confirmar,يتأكد,Confirmer,पुष्टि करना
Fund Card,Fund Card,Tarjeta de fondos,بطاقة الصندوق,Carte de fonds,फंड कार्ड
Fund Amount,Fund Amount,Monto del fondo,مبلغ الصندوق,Montant du fonds,निधि राशि
Withdraw Amount,Withdraw Amount,Retirar cantidad,سحب المبلغ,Montant du retrait,राशि वापस ले
Amount,Amount,Cantidad,كمية,Montant,मात्रा
Will Get,Will Get,obtendrá,سوف تحصل,obtiendra,लाऊंगा
Virtual Card Transaction,Virtual Card Transaction,Transacción con tarjeta virtual,معاملات البطاقة الافتراضية,Transaction par carte virtuelle,वर्चुअल कार्ड लेनदेन
Card Details,Card Details,Detalles de la tarjeta,تفاصيل البطاقة,Détails de la carte,कार्ड विवरण
Card Type,Card Type,Tipo de tarjeta,نوع البطاقة,Type de carte,कार्ड का प्रकार
Card Id,Card Id,Identificación de la tarjeta,معرف البطاقة,Identifiant de la carte,कार्ड आईडी
Account Id,Account Id,ID de cuenta,معرف الحساب,Identifiant du compte,खाता आईडी
Card Pan,Card Pan,Bandeja de tarjetas,عموم البطاقة,Plateau de cartes,कार्ड पैन
Card Masked,Card Masked,tarjeta enmascarada,بطاقة ملثمين,Carte masquée,कार्ड नकाबपोश
Cvv,Cvv,cvv,السيرة الذاتية,Cvv,सीवीवी
Expiration,Expiration,Vencimiento,انتهاء,Expiration,समय सीमा समाप्ति
Status,Status,Estado,حالة,Statut,स्थिति
Support Tickets,Support Tickets,Boletos de soporte,تذاكر الدعم,Billets d'assistance,समर्थन टिकट
Subject,Subject,Sujeto,موضوع,Sujet,विषय
Ticket ID,Ticket ID,ID del billete,معرف التذكرة,Identifiant du billet,टिकट आईडी
Payment Gateway,Payment Gateway,Pasarela de pago,بوابة الدفع,Passerelle de paiement,भुगतान गेटवे
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف,Taux de change,विनिमय दर
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف,Frais et charges,फीस एवं शुल्क
Conversion Amount,Conversion Amount,Monto de conversión,مبلغ التحويل,Montant de conversion,रूपांतरण राशि
Total Payable Amount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق,Montant total à payer,कुल देय राशि
Name on Card,Name on Card,Nombre en la tarjeta,الاسم على البطاقة,Nom sur la carte,कार्ड पर नाम
Expiration Date,Expiration Date,Fecha de expiración,تاريخ انتهاء الصلاحية,Date d'expiration,समाप्ति तिथि
CVC Code,CVC Code,Código CVC,رمز التحقق من البطاقة (CVC).,Code CVC,सीवीसी कोड
Setup Card Api,Setup Card Api,API de tarjeta de configuración,واجهة برمجة تطبيقات بطاقة الإعداد,API de configuration de la carte,सेटअप कार्ड एपीआई
Add Money Logs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال,Ajouter des journaux d'argent,मनी लॉग्स जोड़ें
Email Unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني,E-mail non vérifié,ईमेल असत्यापित
